MSA,Pop_Total,Median_Rent,Median_Income,Median_Home_Value,wiki_url,wiki_thumb_url,Name
10860,49020,852,46922,89200,"https://en.wikipedia.org/wiki/Jim_Wells_County,_Texas","https://en.wikipedia.org/wiki/Jim_Wells_County,_Texas#/media/File:Jim_wells_courthouse.jpg","Alice, TX"
10900,863166,1246,78597,258000,https://en.wikipedia.org/wiki/Lehigh_Valley,https://en.wikipedia.org/wiki/Lehigh_Valley#/media/File:Greatvalley-map.png,"Allentown-Bethlehem-Easton, PA-NJ"
10940,41534,757,57934,126500,"https://en.wikipedia.org/wiki/Alma,_Michigan","https://en.wikipedia.org/wiki/Alma,_Michigan#/media/File:Alma_City_Hall.jpg","Alma, MI"
10980,28911,638,49133,128000,"https://en.wikipedia.org/wiki/Alpena,_Michigan","https://en.wikipedia.org/wiki/Alpena,_Michigan#/media/File:Alpena_City_Hall.jpg","Alpena, MI"
11020,122640,838,59386,149300,"https://en.wikipedia.org/wiki/Altoona,_Pennsylvania","https://en.wikipedia.org/wiki/Altoona,_Pennsylvania#/media/File:Altoona_Downtown_from_Brush_Mountain.jpg","Altoona, PA"
11060,24776,842,60954,115200,"https://en.wikipedia.org/wiki/Altus,_Oklahoma","https://en.wikipedia.org/wiki/Altus,_Oklahoma#/media/File:Jackson_courthouse.jpg","Altus, OK"
11100,269278,997,64147,180600,"https://en.wikipedia.org/wiki/Amarillo,_Texas","https://en.wikipedia.org/wiki/Amarillo,_Texas#/media/File:Amarillo_Skyline.jpg","Amarillo, TX"
11140,33943,811,39867,134200,"https://en.wikipedia.org/wiki/Americus,_Georgia","https://en.wikipedia.org/wiki/Americus,_Georgia#/media/File:Municipal_Building_City_of_Americus.jpg","Americus, GA"
11180,125273,981,68107,216000,"https://en.wikipedia.org/wiki/Ames,_Iowa","https://en.wikipedia.org/wiki/Ames,_Iowa#/media/File:Ames_Montage.jpg","Ames, IA"
11220,49624,867,58033,132300,"https://en.wikipedia.org/wiki/Amsterdam,_New_York","https://en.wikipedia.org/wiki/Amsterdam,_New_York#/media/File:Sanford_Clock_Tower%2C_Amsterdam.jpg","Amsterdam, NY"
11260,399335,1375,93016,344500,"https://en.wikipedia.org/wiki/Anchorage,_Alaska","https://en.wikipedia.org/wiki/Anchorage,_Alaska#/media/File:Anchorage_Skyline_in_Winter_-_Hotel_Captain_Cook_-_Anchorage_Alaska.jpg","Anchorage, AK"
11380,18362,1345,86458,179300,"https://en.wikipedia.org/wiki/Andrews,_Texas","https://en.wikipedia.org/wiki/Andrews,_Texas#/media/File:Downtown_Andrews%2C_Texas_IMG_0371.JPG","Andrews, TX"
11420,34507,896,68837,187500,https://en.wikipedia.org/wiki/Angola,https://en.wikipedia.org/wiki/Angola#/media/File:Flag_of_Angola.svg,"Angola, IN"
11460,370231,1335,84245,336300,"https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan","https://en.wikipedia.org/wiki/Ann_Arbor,_Michigan#/media/File:Ann_Arbor_sunset_2018.jpg","Ann Arbor, MI"
11500,116162,806,54339,140500,https://en.wikipedia.org/wiki/ERROR,,"Anniston-Oxford, AL"
11540,242972,942,79958,226600,"https://en.wikipedia.org/wiki/Appleton,_Wisconsin","https://en.wikipedia.org/wiki/Appleton,_Wisconsin#/media/File:Appleton_Facing_East.JPG","Appleton, WI"
11580,34258,861,45000,139500,"https://en.wikipedia.org/wiki/Arcadia,_Florida","https://en.wikipedia.org/wiki/Arcadia,_Florida#/media/File:Arcadia_Hist_Dist_downtown_Oak_Street_west01.jpg","Arcadia, FL"
11620,58360,892,56968,146500,"https://en.wikipedia.org/wiki/Ardmore,_Oklahoma","https://en.wikipedia.org/wiki/Ardmore,_Oklahoma#/media/File:Ardmore_ok_dt1.jpg","Ardmore, OK"
11640,181820,511,22368,107400,"https://en.wikipedia.org/wiki/Arecibo,_Puerto_Rico","https://en.wikipedia.org/wiki/Arecibo,_Puerto_Rico#/media/File:Plaza_de_recreo_de_Arecibo.jpg","Arecibo, PR"
11660,21469,690,48071,143300,"https://en.wikipedia.org/wiki/Arkadelphia,_Arkansas","https://en.wikipedia.org/wiki/Arkadelphia,_Arkansas#/media/File:Downtown_Arkadelphia%2C_AR_001.jpg","Arkadelphia, AR"
